label,predict,acc,
1,1,1,
1,1,1,
0,1,0,
1,0,0,
0,0,1,
1,1,1,
0,1,0,
0,0,1,
1,1,1,
1,1,1,
0,0,1,
0,0,1,
0,1,0,
1,1,1,
0,1,0,
1,1,1,
0,1,0,
1,0,0,
0,0,1,
1,0,0,
0,0,1,
0,1,0,
1,1,1,
0,0,1,
1,1,1,
1,1,1,
1,0,0,
1,1,1,
0,0,1,
1,1,1,
1,1,1,
1,1,1,
0,1,0,
1,1,1,
1,1,1,
1,1,1,
0,0,1,
1,1,1,
1,1,1,
1,1,1,
0,0,1,
1,0,0,
1,1,1,
1,1,1,
1,1,1,
0,0,1,
0,0,1,
1,1,1,
1,1,1,
1,1,1,
0,1,0,
0,0,1,
0,1,0,
1,1,1,
1,1,1,
1,1,1,
0,1,0,
0,0,1,
0,0,1,
1,1,1,
1,1,1,
1,1,1,
0,1,0,
1,1,1,
0,1,0,
1,1,1,
1,0,0,
0,0,1,
1,1,1,
0,0,1,
1,1,1,
1,1,1,
0,1,0,
0,1,0,
0,0,1,
0,0,1,
0,0,1,
0,0,1,
1,1,1,
1,0,0,
0,1,0,
0,0,1,
0,0,1,
1,1,1,
1,1,1,
0,1,0,
0,0,1,
0,0,1,
0,0,1,
1,1,1,
1,1,1,
0,1,0,
1,0,0,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
0,0,1,
1,1,1,
1,1,1,
0,1,0,
0,1,0,
1,1,1,
0,1,0,
1,1,1,
0,1,0,
0,1,0,
1,1,1,
1,0,0,
0,1,0,
0,1,0,
0,1,0,
1,1,1,
1,1,1,
0,0,1,
0,1,0,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
0,0,1,
1,0,0,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
0,1,0,
1,1,1,
1,1,1,
1,1,1,
0,0,1,
0,0,1,
1,1,1,
1,1,1,
0,1,0,
0,1,0,
1,1,1,
1,1,1,
0,1,0,
1,1,1,
1,0,0,
1,1,1,
1,1,1,
1,1,1,
1,0,0,
0,1,0,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
0,1,0,
0,1,0,
1,1,1,
1,1,1,
1,1,1,
1,0,0,
1,1,1,
1,1,1,
0,0,1,
1,1,1,
0,0,1,
1,1,1,
0,1,0,
1,1,1,
1,1,1,
0,1,0,
0,0,1,
0,0,1,
1,1,1,
0,0,1,
1,1,1,
1,1,1,
0,0,1,
1,1,1,
0,0,1,
0,0,1,
1,1,1,
1,1,1,
1,0,0,
1,1,1,
0,0,1,
1,1,1,
1,0,0,
0,1,0,
0,0,1,
1,1,1,
1,1,1,
1,1,1,
0,1,0,
1,0,0,
1,1,1,
1,1,1,
1,1,1,
0,0,1,
1,1,1,
1,0,0,
0,1,0,
1,1,1,
0,1,0,
1,0,0,
0,1,0,
1,1,1,
1,1,1,
0,1,0,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
0,0,1,
1,1,1,
0,0,1,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
0,1,0,
0,0,1,
0,1,0,
1,1,1,
1,1,1,
0,1,0,
1,1,1,
0,0,1,
1,1,1,
1,1,1,
1,1,1,
0,1,0,
0,1,0,
0,0,1,
0,0,1,
1,1,1,
0,1,0,
0,0,1,
0,0,1,
1,1,1,
1,1,1,
1,1,1,
1,0,0,
1,1,1,
1,1,1,
1,1,1,
0,0,1,
0,0,1,
1,1,1,
0,1,0,
0,1,0,
1,0,0,
0,0,1,
1,1,1,
1,1,1,
0,1,0,
0,0,1,
1,1,1,
1,0,0,
0,1,0,
0,1,0,
1,1,1,
1,1,1,
1,1,1,
1,0,0,
0,1,0,
0,0,1,
0,1,0,
0,0,1,
1,0,0,
0,1,0,
0,0,1,
1,1,1,
0,0,1,
0,1,0,
0,1,0,
1,0,0,
1,1,1,
1,0,0,
0,0,1,
1,1,1,
0,0,1,
0,1,0,
1,1,1,
0,0,1,
1,1,1,
0,0,1,
1,0,0,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
0,0,1,
1,1,1,
0,1,0,
0,1,0,
0,0,1,
1,0,0,
1,0,0,
1,0,0,
0,1,0,
0,1,0,
0,0,1,
0,1,0,
0,0,1,
0,1,0,
1,1,1,
0,0,1,
1,1,1,
0,0,1,
0,0,1,
0,1,0,
1,1,1,
0,0,1,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
0,0,1,
1,1,1,
1,1,1,
1,1,1,
0,1,0,
0,0,1,
0,0,1,
1,1,1,
0,0,1,
1,1,1,
0,0,1,
1,0,0,
1,1,1,
1,1,1,
0,0,1,
1,1,1,
1,0,0,
0,1,0,
0,0,1,
1,1,1,
0,0,1,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
0,1,0,
1,1,1,
1,1,1,
0,0,1,
0,1,0,
0,0,1,
0,1,0,
1,1,1,
0,0,1,
0,0,1,
0,0,1,
0,0,1,
1,1,1,
1,1,1,
0,1,0,
1,0,0,
0,0,1,
0,1,0,
1,1,1,
1,0,0,
1,1,1,
0,1,0,
1,1,1,
0,1,0,
1,1,1,
1,1,1,
0,1,0,
1,1,1,
1,1,1,
1,1,1,
1,0,0,
0,0,1,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
1,1,1,
0,1,0,
0,0,1,
1,1,1,
0,1,0,
1,0,0,
1,1,1,
1,1,1,
1,1,1,
0,0,1,
0,0,1,
0,0,1,
1,1,1,
0,1,0,
1,1,1,
0,1,0,
0,1,0,
1,1,1,
0,0,1,
1,1,1,
0,0,1,
1,1,1,
0,0,1,
0,0,1,
1,1,1,
0,0,1,
1,1,1,
0,0,1,
0,0,1,
0,1,0,
1,0,0,
1,1,1,
0,1,0,
,,296,71.33%
